phase,layer,expert,samples,load_mean,load_std,cycles_mean,cycles_std,cycles_per_token_mean,cycles_per_token_std,cycles_per_token_min,cycles_per_token_max,cycles_per_token_cv
prefill,9,9,1,50.0,,207712479.0,,4154249.58,,4154249.58,4154249.58,
prefill,9,11,1,39.0,,161861510.0,,4150295.128205128,,4150295.128205128,4150295.128205128,
prefill,9,12,1,13.0,,54092657.0,,4160973.6153846155,,4160973.6153846155,4160973.6153846155,
prefill,9,13,1,4.0,,16768301.0,,4192075.25,,4192075.25,4192075.25,
prefill,9,14,1,1.0,,4619975.0,,4619975.0,,4619975.0,4619975.0,
prefill,9,15,1,24.0,,99558187.0,,4148257.7916666665,,4148257.7916666665,4148257.7916666665,
prefill,9,16,1,33.0,,137310037.0,,4160910.212121212,,4160910.212121212,4160910.212121212,
prefill,9,17,1,25.0,,103944103.0,,4157764.12,,4157764.12,4157764.12,
prefill,9,18,1,8.0,,33413961.0,,4176745.125,,4176745.125,4176745.125,
prefill,9,19,1,1.0,,4616448.0,,4616448.0,,4616448.0,4616448.0,
prefill,9,20,1,20.0,,83191641.0,,4159582.05,,4159582.05,4159582.05,
prefill,9,21,1,21.0,,87812143.0,,4181530.619047619,,4181530.619047619,4181530.619047619,
prefill,9,22,1,26.0,,108403295.0,,4169357.5,,4169357.5,4169357.5,
prefill,9,23,1,7.0,,29434109.0,,4204872.714285715,,4204872.714285715,4204872.714285715,
prefill,9,24,1,4.0,,17292927.0,,4323231.75,,4323231.75,4323231.75,
prefill,9,25,1,13.0,,54598914.0,,4199916.461538462,,4199916.461538462,4199916.461538462,
prefill,9,26,1,26.0,,108845943.0,,4186382.423076923,,4186382.423076923,4186382.423076923,
prefill,9,27,1,10.0,,41726038.0,,4172603.8,,4172603.8,4172603.8,
prefill,9,28,1,16.0,,66532218.0,,4158263.625,,4158263.625,4158263.625,
prefill,9,29,1,10.0,,41694619.0,,4169461.9,,4169461.9,4169461.9,
prefill,9,30,1,18.0,,75040232.0,,4168901.777777778,,4168901.777777778,4168901.777777778,
prefill,9,31,1,5.0,,21121319.0,,4224263.8,,4224263.8,4224263.8,
prefill,10,0,1,6.0,,25121686.0,,4186947.6666666665,,4186947.6666666665,4186947.6666666665,
prefill,10,1,1,7.0,,29256609.0,,4179515.5714285714,,4179515.5714285714,4179515.5714285714,
prefill,10,2,1,1.0,,4621020.0,,4621020.0,,4621020.0,4621020.0,
prefill,10,3,1,2.0,,8574252.0,,4287126.0,,4287126.0,4287126.0,
prefill,10,4,1,8.0,,33346402.0,,4168300.25,,4168300.25,4168300.25,
prefill,10,5,1,26.0,,108012487.0,,4154326.423076923,,4154326.423076923,4154326.423076923,
prefill,10,6,1,44.0,,182960492.0,,4158193.0,,4158193.0,4158193.0,
prefill,10,9,1,2.0,,8647249.0,,4323624.5,,4323624.5,4323624.5,
prefill,10,10,1,43.0,,178337906.0,,4147393.1627906975,,4147393.1627906975,4147393.1627906975,
prefill,10,11,1,11.0,,45784685.0,,4162244.090909091,,4162244.090909091,4162244.090909091,
prefill,10,13,1,22.0,,91565995.0,,4162090.6818181816,,4162090.6818181816,4162090.6818181816,
prefill,10,14,1,4.0,,16766673.0,,4191668.25,,4191668.25,4191668.25,
prefill,10,15,1,36.0,,149950983.0,,4165305.0833333335,,4165305.0833333335,4165305.0833333335,
prefill,10,16,1,25.0,,105161499.0,,4206459.96,,4206459.96,4206459.96,
prefill,10,17,1,32.0,,132771019.0,,4149094.34375,,4149094.34375,4149094.34375,
prefill,10,18,1,11.0,,45910221.0,,4173656.4545454546,,4173656.4545454546,4173656.4545454546,
prefill,10,19,1,34.0,,142164649.0,,4181313.205882353,,4181313.205882353,4181313.205882353,
prefill,10,20,1,7.0,,29319338.0,,4188476.8571428573,,4188476.8571428573,4188476.8571428573,
prefill,10,21,1,14.0,,58431867.0,,4173704.785714286,,4173704.785714286,4173704.785714286,
prefill,10,22,1,10.0,,41755755.0,,4175575.5,,4175575.5,4175575.5,
prefill,10,23,1,5.0,,21028400.0,,4205680.0,,4205680.0,4205680.0,
prefill,10,24,1,13.0,,54156758.0,,4165904.4615384615,,4165904.4615384615,4165904.4615384615,
prefill,10,25,1,10.0,,41743438.0,,4174343.8,,4174343.8,4174343.8,
prefill,10,26,1,3.0,,12637294.0,,4212431.333333333,,4212431.333333333,4212431.333333333,
prefill,10,27,1,17.0,,70805036.0,,4165002.117647059,,4165002.117647059,4165002.117647059,
prefill,10,28,1,51.0,,211723971.0,,4151450.411764706,,4151450.411764706,4151450.411764706,
prefill,10,29,1,5.0,,21030866.0,,4206173.2,,4206173.2,4206173.2,
prefill,10,30,1,1.0,,4634364.0,,4634364.0,,4634364.0,4634364.0,
prefill,10,31,1,6.0,,25111182.0,,4185197.0,,4185197.0,4185197.0,
prefill,11,0,1,1.0,,4631942.0,,4631942.0,,4631942.0,4631942.0,
prefill,11,1,1,2.0,,8605150.0,,4302575.0,,4302575.0,4302575.0,
prefill,11,2,1,4.0,,16757654.0,,4189413.5,,4189413.5,4189413.5,
prefill,11,3,1,2.0,,8644388.0,,4322194.0,,4322194.0,4322194.0,
prefill,11,4,1,26.0,,107992164.0,,4153544.769230769,,4153544.769230769,4153544.769230769,
prefill,11,5,1,13.0,,54293646.0,,4176434.3076923075,,4176434.3076923075,4176434.3076923075,
